id,season,date,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_the_match,venue,umpire1,umpire2,umpire3
100,2017,2/19/2017,Harare,Zimbabwe,Afghanistan,Afghanistan,bat,Normal,0,Afghanistan,54,0,Rashid Khan,Harare Sports Club,S George,RB Tiffin,
101,2017,2/16/2017,Harare,Zimbabwe,Afghanistan,Afghanistan,bat,D/L,1,Afghanistan,12,0,Asghar Stanikzai,Harare Sports Club,S George,RB Tiffin,
102,2017,1/26/2017,Dubai,United Arab Emirates,Hong Kong,United Arab Emirates,field,Normal,0,United Arab Emirates,0,6,Imran Haider,Dubai International Cricket Stadium,AJT Dowdalls,Iftikhar Ali,
103,2017,1/24/2017,Dubai,United Arab Emirates,Scotland,Scotland,bat,Normal,0,United Arab Emirates,0,4,Adnan Mufti,Dubai International Cricket Stadium,Akbar Ali,Tabarak Dar,
104,2017,1/22/2017,Abu Dhabi,Hong Kong,Scotland,Hong Kong,field,Normal,0,Hong Kong,0,7,Babar Hayat,Sheikh Zayed Stadium,Akbar Ali,Iftikhar Ali,
105,2017,4/11/2017,Guyana,Pakistan,West Indies,West Indies,bat,Normal,0,Pakistan,0,6,Shoaib Malik,Providence Stadium,SD Fry,JS wilson,
106,2017,4/9/2017,Guyana,Pakistan,West Indies,West Indies,field,Normal,0,Pakistan,74,0,Babar Azam,Providence Stadium,GO Brathwaite,IJ Gould,
107,2017,4/7/2017,Guyana,Pakistan,West Indies,West Indies,field,Normal,0,West Indies,0,4,JN Mohammed,Providence Stadium,SD Fry,JS wilson,
108,2017,2/21/2017,Colombo,South Africa,India,South Africa,bat,Normal,0,India,0,1,DB Sharma`,P Sara Oval,K Cross,CA Polosak,
109,2017,2/19/2017,Colombo,Ireland,South Africa,Ireland,bat,D/L,1,South Africa,36,0,,Colombo Cricket Club Ground,IN Ramage,LS Reifer,
110,2017,2/19/2017,Colombo,Sri Lanka,Bangladesh,Bangladesh,field,D/L,1,Sri Lanka,42,0,AC Jayangani,Nondescripts Cricket Club Ground,M Hawthorne,JM Williams,
111,2017,2/19/2017,Colombo,Pakistan,India,India,field,Normal,0,India,0,7,E Bisht,P Sara Oval,CA Polosak,RR Wimalasiri,
112,2017,11/27/2016,Bulawayo,Sri Lanka,Zimbabwe,Zimbabwe,bat,Normal,0,Sri Lanka,0,6,BKG Mendis,Queens Sports Club,RK Illingworth,TJ Matibiri,
113,2017,11/25/2016,Bulawayo,Zimbabwe,West Indies,Zimbabwe,bat,D/L,1,Zimbabwe,5,0,TS Chisoro,Queens Sports Club,MA Gough,TJ Matibiri,
114,2017,11/23/2016,Bulawayo,Sri Lanka,West Indies,West Indies,field,Normal,0,Sri Lanka,1,0,BKG Mendis,Queens Sports Club,RK Illingworth,TJ Matibiri,
115,2017,11/21/2016,Bulawayo,Zimbabwe,Sri Lanka,Zimbabwe,bat,Draw,0,,,,,Queens Sports Club,MA Gough,L Rusere,
116,2017,11/19/2016,Bulawayo,Zimbabwe,West Indies,Zimbabwe,bat,Tie,0,,,,SD Hope,Queens Sports Club,C Shamshuddin,RB Tiffin,
117,2017,11/16/2016,Harare,West Indies,Sri Lanka,Sri Lanka,field,Normal,0,West Indies,62,0,JO Holder,Harare Sports Club,M Erasmus,RB Tiffin,
118,2017,11/14/2016,Harare,Zimbabwe,Sri Lanka,Sri Lanka,field,Normal,0,Sri Lanka,0,8,DM de Silva,Harare Sports Club,C Shamshuddin,RB Tiffin,
119,2017,11/17/2016,,England,Sri Lanka,England,bat,Normal,0,England,162,0,,R Premadasa Stadium,WN de Silva,RSA Palliyaguruge,
120,2017,10/5/2016,Abu Dhabi,Pakistan,West Indies,Pakistan,bat,Normal,0,Pakistan,136,0,Babar Azam,Sheikh Zayed Stadium,Ahsan Raza,RSA Palliyaguruge,
121,2017,10/2/2016,Sharjah,Pakistan,West Indies,Pakistan,bat,Normal,0,Pakistan,59,0,Babar Azam,Sharjah Cricket Stadium,S Ravi,Shozab Raza,
122,2017,9/30/2016,Sharjah,Pakistan,West Indies,West Indies,field,D/L,1,Pakistan,111,0,Babar Azam,Sharjah Cricket Stadium,Ahsan Raza,RSA Palliyaguruge,
123,2017,3/24/2017,Greater Noida,Ireland,Afghanistan,Ireland,bat,Normal,0,Afghanistan,0,7,Rahmat Shah,Greater Noida Sports Complex Ground,Ahmed Shah Pakteen,Nitin Menon,
124,2017,3/22/2017,Greater Noida,Ireland,Afghanistan,Afghanistan,bat,Normal,0,Ireland,0,3,KJ O'Brien,Greater Noida Sports Complex Ground,Ahmed Shah Durrana,AK Chaudhary,
